first_author,year,Journal,country,total_sample,hc_mean_age(sd),hc_smaple,patients_sample,hc_female,patients_female,patient_mean_age(sd),Disease_criteria,group_disorder_name,Comorbidity,meditation,scale_1,scale_2,scale_3,scale_4,scale_5
Holt,2011,Biological Psychiatry,USA,35,40(12.5）,17,18,6,6,35.9(13.7),DSM-IV,schizophrenia,NA,"clozapine(n=5),risperidone(n=1),olanzapine(n=2),quetiapine(n=3),aripirazole(n=5)",Positive and Negative Syndrome Scale,NA,NA,NA,NA
Belleau,2014,SCAN,USA,32,31.13(10.7),16,16,8,11,33.19(11.49),DSM-IV,depressive disorder,"social phobia(n=2),social and specific phobias(n=2),generalized anxiety disorder(n=2),generalized anxiety disorder and social phobia(n=2),generalized anxiety disorder and panic disorder(n=1),posttraumatic stress disorder(n=1),specific phobia(n=1),anxiety disorder not otherwise specified(n=1)","duloxetine hydrochloride/Cymbalta(n=2),bupropion hydrochloride/Wellbutrin XL(n=1),bupropion hydrochloride and fluoxetine hydrochloride/Prozac(n=1),risperidone/Risperdal(n=1)",Beck Depression Inventory-II, the rumination subscale of the Response Styles Questionnaire,NA,NA,NA
Kennedy,2008,SCAN,USA,25,27.5(10.9）,12,13,0,0,26.9(12.3）,ADOS,autism spectrum disorder,NA,NA,the Autism Diagnostic Interview-Revised,Autism Diagnostic Observation Schedule,Wechsler Adult Intelligence Scale (WAIS) or WAIS-R (Revised),NA,NA
Beeney,2016,Personal Disorder,USA,38,33.33(9.81),21,17,21,17,35.51(10.84),DSM-IV-TR,borderline personality disorder,"mood disorders(n=7),anxiety disorders(n=6),Post-Traumatic Stress Disorder(n=4),alcohol-related disorders(n=4),somatoform or eating disorders(n=3)","antidepressants(n=7),antipsychotics(n=4),mood stabilizers(n=5),anxiolytics(n=3)","McLean Screening
Instrument for Borderline Personality Disorder",Differentiation of Self Inventory,NA,NA,NA
Hur,2021,JMIR Ment Health,China,47,23.95(3.5）,22,25,10,10,23.04(3.35）,DSM-IV,social anxiety disorder,NA,NA,the Social Avoidance and Distress Scale,NA,NA,NA,NA
Brown,2019,Psychiatry Res Neuroimaging,USA,64,29.1(7.4）,13,51,8,24,27.3(6.00）,DSM-IV,social anxiety disorder,NA,"Current medications for emotional problem(n=8),Previous medications for emotional problem(n=23)",Liebowitz Social Anxiety Scale-Self Report Version,NA,NA,NA,NA
Pujol,2012,Psychological Medicine (2013),Spain,40,24.4(5.6),20,20,14,15,24.2(5.2),DSM-IV-TR,social anxiety disorder,NA,NA,Mini International Neuropsychiatric Interview,Leibowitz Social Anxiety Scale,STAI-S,State anxiety VAS,HAMD-17
Leménager,2014,Addict Behav,Germany,33,24.94(7.72),17,16,4,2,28.25(7.72),DSM-IV,Internet gaming disorder,NA,NA,the Assessment of Internet and Computer game Addiction ,NA,NA,NA,NA
Komeda,2015,SCAN,Japan,30,26.1(5.2）,15,15,2,1,26.7(5.8）,DSM-IV-TR,autism spectrum disorder ,"Asperger’s disorder(n=3),autistic disorder(n=12)",NA,Wechsler Adult Intelligence Scale III,the AutismSpectrum Quotient,NA,NA,NA
Bach,2021,European Archives of Psychiatry and Clinical Neuroscience,Germany,40,21.14(2.33）,29,11,0,0,21.45(3.05）,DSM-IV,Internet gaming disorder,NA,NA,the Rosenberg Self-Esteem Scale,the Scale for Social Anxiety and Social Competence Deficits,the Emotional Competence Questionnaire,the Empathy Quotient,the Assessment of Internet and Computer game Addiction-Checklist
Fuentes-Claramonte,2020,NeuroImage: Clinical,Spain,50,38.74(10.2),27,23,10,7,37(8.06),DSM-IV-TR,schizophrenia,NA,"chlorpromazine equivalent,daily dose in mg:498.77(490.27)",Positive and Negative Syndrome Scale (PANSS),The Clinical Global Impressions Scale,NA,NA,NA
Furuichi,2019,Asian Journal of Psychiatry,Japan,28,27.5(4.3),15,13,7,7,27(5.3),ICD-10,schizophrenia,NA,haloperidol equivalent,the Scale for the Assessment of Negative and Positive Symptoms ,NA,NA,NA,NA
Makowski,2016,SCAN,Canada,30,35.2(9.8),15,15,6,4,33.1(7.7),DSM-IV,schizophrenia,NA,NA,the Scale for the Assessment of Negative and Positive Symptoms ,NA,NA,NA,NA
Pankow,2016,Schiz Bulletin,Germany,88,3.5(7.31),59,29,15,4,28.21(6.99),ICD-10,schizophrenia,NA,NA,Positive and Negative Syndrome Scale,Schizotypal Personality Questionnaire,NA,NA,NA
Pauly,2013, SCAN,Germany,26,36.23(9.46),13,13,6,6,34.46(8.58),DSM-IV,schizophrenia,NA,"mean=12.0(years),sd=6.93",the Scale for the Assessment of Negative and Positive Symptoms ,The Global Assessment of Functioning scale,The Hamilton Depression Scale,NA,NA
Shad,2012,Schizophr Res,USA,32,44.3(9.6),15,17,7,3,40(10.3),DSM-IV,schizophrenia,NA,"Chlorpromazine equivalent dose(mean=346.3,sd=234.0)",the Wechsler Test for Adult Reading (WTAR),NA,NA,NA,NA
Shad,2015,Schizophrenia Research,USA,32,NA,15,17,NA,3,40(10.3),DSM-IV,schizophrenia,NA,"Chlorpromazine Equivalent Dose(mean=346.3,sd=234.0)",need to check,NA,NA,NA,NA
Zhang,2015,NeuroimageClin ,Netherlands,55,41.29(11.82),38,17,9,10,29.95(10.99),MINI-Plus,bipolar disorder,NA,NA,the Quick Inventory of Depressive Symptomatology,Young Mania Rating Scale ,the Positive and Negative Syndrome Scale,Forwards and Backwards Digit Span subtests of Wechsler Adult Intelligence Scale,NA
Bedford,2012,BMC Psychiatry,UK,19,31(9),8,11,5,4,39(11),DSM-IV-TR,schizophrenia,NA,NA,the Positive and Negative Syndrome Scale,Insight-expanded version ,Parts A and B of the Trail Making Test ,NA,NA
Jimenez,2018,Neuropsychologia,USA,36,44.69(11.1),16,20,5,7,48.3(9.9),DSM-IV,schizophrenia,NA,chlorpromazine equivalent=340.6(229.5) (mg/day),Brief Psychiatric Rating Scale,Scale for the Assessment of Negative Symptoms,Role Functioning Scale,NA,NA
Liu,2014,Psychiatry Res,USA,30,40.5(8.8),13,17,7,9,50(7.4),DSM-IV,schizophrenia,NA,chlorpromazine equivalent mean doses:5337 576mg/day,Positive and Negative Syndrome Scale,NA,NA,NA,NA
Tan,2015,Plos one,China,35,41.2(3.85),17,18,7,7,40.5(5.48),DSM-IV,schizophrenia,NA,"typical neuroleptics(n=5),atypical neuroleptics(n=12),CPZ:277.9±126.8 mg/day ",Positive and Negative Syndrome Scale,NA,NA,NA,NA
van der Meer,2013,Schizophr Bull,Netherlands,68,30(11),21,47,9,12,34.3(10.7),MINI-Plus,schizophrenia,NA,Antipsychotic medication,Positive and Negative Syndrome Scale,Insight (SAI-E),Cognitive Insight (BCIS),Insight and Cognitive Insight,NA
Vinogradov,2008,Cereb Cortex,USA,16,28,8,8,4,3,38,DSM-IV,schizophrenia,NA,"Antipsychotic medication(chlorpromazine =350 mg),one subject unmedicated ",Positive and Negative Syndrome Scale,NA,NA,NA,NA
Blackwood,2004,Psychological Medicine,UK,16,36(11),8,8,0,0,38(17),ICD-10,schizophrenia,NA,"atypical antipsychotics(n=7),typical antipsychotics(250 mg in chlorpromazine equivalents)(n=1)",Scales for the Assessment of Positive and Negative Symptoms,Beck Depression Inventory,NA,NA,NA
Lombardo,2010,Brain,UK,62,27.97(6.1),33,29,0,0,26.59(7.04),ICD-10,autism spectrum disorder,NA,NA,the Toronto Alexithymia Scale,Autism Spectrum Quotient,Autism Diagnostic Interview-Revised ,NA,NA
Marchewka,2019,J Autism Dev Disord,Poland,30,24.2,15,15,0,0,21.3,ADOS,autism spectrum disorder,NA,NA,Wechsler Intelligence Scale for Adults—Revised,NA,NA,NA,NA
Hashimoto,2017,Soc Neurosci,Japan,50,28.5(6.7),24,26,3,4,30.4(6.9),DSM-IV,autism spectrum disorder,NA,NA,Wechsler Adult Intelligence Scale-Third Edition ,Hamilton Anxiety Depression Scale,Autism-Spectrum Quotient,NA,NA
Lythe,2022,Psychological Medicine,UK,106,34.1(12),39,67,24,47,33.4(13.2),DSM-IV,depressive disorder,NA,no,NA,NA,NA,NA,NA
Sarsam,2013,PLoS One,UK,27,26.4(9.5),14,13,8,10,32.7(7.6),DSM-IV,depressive disorder,NA,NA,the Beck Depression Inventory II ,NA,NA,NA,NA
Blair,2011,Psychiatry Res,USA,30,29.7(2.28),15,15,6,7,35.1(2.47),DSM-IV,social anxiety disorder,NA,Unmedicated individuals,Liebowitz Social Anxiety Scale — Self Report (LSAS-SR),the Inventory of Depressive Symptomatology—Self Report (IDS-SR),the Global Assessment of Functioning (GAF),NA,NA
Herold,2017,Journal of Affective Disorders,Germany,28,38.07(5.84),14,14,4,4,33.78(10.45),DSM-IV,bipolar disorder,NA,"Carbamazepine(n=1),Lithium(n=6),Valproate(n=7),Clozapine(n=1),Olanzapine(n=5),Quetiapine=(n=4),Risperidone(n=4),Flupentixol(n=1),Biperiden(n=2)",Young Mania Rating Scale (YMRS),,NA,NA,NA
McAdams,2016,SCAN,USA,41,27.9(6),19,22,19,22,27.6(7.6),DSM-IV,anorexia nervosa,NA,NA,Quick Inventory of Depressive Symptoms (QIDS-CR),Structured Interview Guide for the Hamilton Anxiety Scale (SIGH-A),Eating Disorder Examination Questionnaire (EDE-Q),the Eating Attitudes Test (EAT),NA
Murphy,2010,Schizophrenia Research,USA ,21,29.6(8.4),10,11,6,4,26.7(6.36),DSM-IV,schizophrenia,NA,NA,NA,NA,NA,NA,NA
Bluhm,2012, Acta Psychiatr Scand,Canada,35,35(9.53),15,20,13,13,38.3(9.33),DSM-IV,post-traumatic stress disorder,"MDD(n=7),Current MDE(n=5),Dysthymia(n=3),Panic disorder(n=1),Agoraphobia(n=1),GAD(n=7),Social anxiety disorder(n=5),Specific phobia(n=1), OCD(n=1)",NA,the Clinician Administered PTSD Scale,,NA,NA,NA
Lemogne,2009,SCAN,France,30,29.3(5.6),15,15,11,14,33.7(9.5),DSM-IV,depressive disorder,comorbid panic attacks(n=1),"elective serotonin reuptake inhibitor(n=7),serotonin-norepinephrine reuptake inhibitor(n=5),tricyclic antidepressant(n=3)",Montgomery–Asberg Depression Rating Scale,Beck Depression Inventory,NA,NA,NA